prefix,main-agent_id,main-agent_has_fingers,interloctr_id,interloctr_has_fingers
trn_2023_v0_052,09,finger_incl,01,finger_excl
trn_2023_v0_053,01,finger_incl,08,finger_excl
trn_2023_v0_054,01,finger_excl,03,finger_excl
trn_2023_v0_055,09,finger_incl,01,finger_excl
trn_2023_v0_056,01,finger_incl,07,finger_excl
trn_2023_v0_057,06,finger_incl,01,finger_excl
trn_2023_v0_058,07,finger_incl,01,finger_incl
trn_2023_v0_059,01,finger_incl,06,finger_excl
trn_2023_v0_060,16,finger_excl,01,finger_incl
trn_2023_v0_061,01,finger_incl,12,finger_excl
trn_2023_v0_062,11,finger_excl,10,finger_incl
trn_2023_v0_063,01,finger_incl,02,finger_incl
trn_2023_v0_064,01,finger_incl,09,finger_excl
trn_2023_v0_065,02,finger_excl,01,finger_incl
trn_2023_v0_066,08,finger_incl,01,finger_incl
trn_2023_v0_067,01,finger_incl,12,finger_excl
trn_2023_v0_068,01,finger_incl,13,finger_excl
trn_2023_v0_069,03,finger_incl,01,finger_incl
trn_2023_v0_070,07,finger_incl,01,finger_incl
trn_2023_v0_071,16,finger_excl,01,finger_incl
trn_2023_v0_072,09,finger_incl,01,finger_incl
trn_2023_v0_073,11,finger_incl,10,finger_excl
trn_2023_v0_074,01,finger_incl,02,finger_excl
trn_2023_v0_075,01,finger_excl,06,finger_incl
trn_2023_v0_076,01,finger_excl,14,finger_excl
trn_2023_v0_077,01,finger_incl,03,finger_excl
trn_2023_v0_078,02,finger_incl,01,finger_incl
trn_2023_v0_079,01,finger_incl,17,finger_excl
trn_2023_v0_080,01,finger_excl,14,finger_excl
trn_2023_v0_081,14,finger_excl,01,finger_excl
trn_2023_v0_082,01,finger_incl,03,finger_incl
trn_2023_v0_083,14,finger_excl,01,finger_excl
trn_2023_v0_084,17,finger_excl,01,finger_incl
trn_2023_v0_085,03,finger_incl,01,finger_excl
trn_2023_v0_086,01,finger_incl,16,finger_incl
trn_2023_v0_087,01,finger_excl,12,finger_incl
trn_2023_v0_088,04,finger_incl,15,finger_excl
trn_2023_v0_089,07,finger_incl,01,finger_excl
trn_2023_v0_090,06,finger_incl,01,finger_excl
trn_2023_v0_091,17,finger_excl,01,finger_incl
trn_2023_v0_092,01,finger_incl,07,finger_incl
trn_2023_v0_093,02,finger_excl,01,finger_incl
trn_2023_v0_094,02,finger_excl,01,finger_incl
trn_2023_v0_095,01,finger_incl,09,finger_incl
trn_2023_v0_096,01,finger_incl,02,finger_incl
trn_2023_v0_097,01,finger_incl,06,finger_excl
trn_2023_v0_098,01,finger_incl,09,finger_incl
trn_2023_v0_099,03,finger_incl,01,finger_incl
trn_2023_v0_100,01,finger_excl,02,finger_incl
trn_2023_v0_101,04,finger_incl,15,finger_excl
trn_2023_v0_102,09,finger_incl,01,finger_excl
trn_2023_v0_103,01,finger_incl,16,finger_incl
trn_2023_v0_104,01,finger_incl,02,finger_excl
trn_2023_v0_105,01,finger_incl,13,finger_excl
trn_2023_v0_106,01,finger_incl,08,finger_excl
trn_2023_v0_107,16,finger_incl,01,finger_excl
trn_2023_v0_108,16,finger_incl,01,finger_excl
trn_2023_v0_109,15,finger_incl,04,finger_incl
trn_2023_v0_110,01,finger_incl,07,finger_incl
trn_2023_v0_111,16,finger_incl,01,finger_incl
trn_2023_v0_112,14,finger_excl,01,finger_excl
trn_2023_v0_113,16,finger_incl,01,finger_incl
trn_2023_v0_114,01,finger_incl,16,finger_excl
trn_2023_v0_115,04,finger_excl,05,finger_incl
trn_2023_v0_116,01,finger_excl,16,finger_incl
trn_2023_v0_117,01,finger_incl,12,finger_excl
trn_2023_v0_118,01,finger_incl,14,finger_incl
trn_2023_v0_119,01,finger_excl,07,finger_incl
trn_2023_v0_120,01,finger_excl,12,finger_incl
trn_2023_v0_121,04,finger_incl,15,finger_excl
trn_2023_v0_122,01,finger_excl,02,finger_incl
trn_2023_v0_123,17,finger_incl,01,finger_incl
trn_2023_v0_124,03,finger_incl,01,finger_incl
trn_2023_v0_125,14,finger_excl,01,finger_excl
trn_2023_v0_126,12,finger_incl,01,finger_excl
trn_2023_v0_127,09,finger_incl,01,finger_incl
trn_2023_v0_128,08,finger_incl,01,finger_excl
trn_2023_v0_129,01,finger_incl,14,finger_incl
trn_2023_v0_130,17,finger_incl,01,finger_incl
trn_2023_v0_131,01,finger_incl,12,finger_excl
trn_2023_v0_132,03,finger_incl,01,finger_incl
trn_2023_v0_133,10,finger_excl,11,finger_incl
trn_2023_v0_134,09,finger_incl,01,finger_excl
trn_2023_v0_135,01,finger_excl,07,finger_incl
trn_2023_v0_136,01,finger_incl,14,finger_incl
trn_2023_v0_137,01,finger_excl,17,finger_incl
trn_2023_v0_138,01,finger_incl,08,finger_incl
trn_2023_v0_139,01,finger_incl,17,finger_incl
trn_2023_v0_140,12,finger_incl,01,finger_excl
trn_2023_v0_141,07,finger_excl,01,finger_incl
trn_2023_v0_142,04,finger_incl,15,finger_excl
trn_2023_v0_143,02,finger_incl,01,finger_excl
trn_2023_v0_144,10,finger_incl,11,finger_incl
trn_2023_v0_145,01,finger_incl,08,finger_incl
trn_2023_v0_146,01,finger_incl,16,finger_incl
trn_2023_v0_147,10,finger_excl,11,finger_incl
trn_2023_v0_148,11,finger_incl,10,finger_incl
trn_2023_v0_149,01,finger_incl,02,finger_excl
trn_2023_v0_150,07,finger_incl,01,finger_incl
trn_2023_v0_151,01,finger_incl,07,finger_incl
trn_2023_v0_152,14,finger_incl,01,finger_incl
trn_2023_v0_153,01,finger_incl,03,finger_excl
trn_2023_v0_154,01,finger_incl,02,finger_excl
trn_2023_v0_155,09,finger_excl,01,finger_incl
trn_2023_v0_156,01,finger_incl,08,finger_incl
trn_2023_v0_157,01,finger_incl,08,finger_excl
trn_2023_v0_158,08,finger_incl,01,finger_incl
trn_2023_v0_159,16,finger_incl,01,finger_incl
trn_2023_v0_160,01,finger_incl,02,finger_excl
trn_2023_v0_161,11,finger_excl,10,finger_incl
trn_2023_v0_162,13,finger_incl,01,finger_excl
trn_2023_v0_163,17,finger_excl,01,finger_incl
trn_2023_v0_164,17,finger_excl,01,finger_incl
trn_2023_v0_165,04,finger_excl,05,finger_incl
trn_2023_v0_166,01,finger_excl,14,finger_excl
trn_2023_v0_167,01,finger_incl,16,finger_incl
trn_2023_v0_168,09,finger_incl,01,finger_excl
trn_2023_v0_169,03,finger_incl,01,finger_excl
trn_2023_v0_170,09,finger_incl,01,finger_incl
trn_2023_v0_171,01,finger_excl,13,finger_incl
trn_2023_v0_172,03,finger_incl,01,finger_incl
trn_2023_v0_173,15,finger_incl,04,finger_incl
trn_2023_v0_174,03,finger_incl,01,finger_incl
trn_2023_v0_175,01,finger_incl,07,finger_excl
trn_2023_v0_176,12,finger_excl,01,finger_incl
trn_2023_v0_177,05,finger_incl,04,finger_incl
trn_2023_v0_178,10,finger_incl,11,finger_excl
trn_2023_v0_179,06,finger_incl,01,finger_excl
trn_2023_v0_180,01,finger_excl,07,finger_incl
trn_2023_v0_181,17,finger_incl,01,finger_incl
trn_2023_v0_182,04,finger_incl,15,finger_incl
trn_2023_v0_183,01,finger_incl,13,finger_excl
trn_2023_v0_184,10,finger_incl,11,finger_excl
trn_2023_v0_185,12,finger_excl,01,finger_incl
trn_2023_v0_186,14,finger_excl,01,finger_excl
trn_2023_v0_187,01,finger_excl,03,finger_incl
trn_2023_v0_188,01,finger_incl,16,finger_incl
trn_2023_v0_189,02,finger_excl,01,finger_incl
trn_2023_v0_190,01,finger_incl,03,finger_incl
trn_2023_v0_191,01,finger_incl,03,finger_incl
trn_2023_v0_192,01,finger_incl,02,finger_excl
trn_2023_v0_193,03,finger_incl,01,finger_excl
trn_2023_v0_194,01,finger_incl,03,finger_incl
trn_2023_v0_195,01,finger_incl,08,finger_incl
trn_2023_v0_196,12,finger_excl,01,finger_incl
trn_2023_v0_197,01,finger_excl,12,finger_incl
trn_2023_v0_198,15,finger_incl,04,finger_incl
trn_2023_v0_199,01,finger_incl,02,finger_excl
trn_2023_v0_200,14,finger_excl,01,finger_excl
trn_2023_v0_201,11,finger_incl,10,finger_excl
trn_2023_v0_202,04,finger_incl,05,finger_incl
trn_2023_v0_203,07,finger_incl,01,finger_incl
trn_2023_v0_204,08,finger_incl,01,finger_excl
trn_2023_v0_205,02,finger_incl,01,finger_excl
trn_2023_v0_206,14,finger_incl,01,finger_incl
trn_2023_v0_207,01,finger_incl,07,finger_incl
trn_2023_v0_208,06,finger_incl,01,finger_incl
trn_2023_v0_209,01,finger_excl,12,finger_incl
trn_2023_v0_210,01,finger_incl,06,finger_excl
trn_2023_v0_211,01,finger_incl,07,finger_incl
trn_2023_v0_212,01,finger_incl,07,finger_incl
trn_2023_v0_213,10,finger_excl,11,finger_incl
trn_2023_v0_214,01,finger_incl,08,finger_excl
trn_2023_v0_215,05,finger_incl,04,finger_incl
trn_2023_v0_216,01,finger_excl,09,finger_incl
trn_2023_v0_217,01,finger_incl,08,finger_incl
trn_2023_v0_218,04,finger_incl,05,finger_incl
trn_2023_v0_219,01,finger_incl,16,finger_excl
trn_2023_v0_220,01,finger_incl,07,finger_excl
trn_2023_v0_221,02,finger_excl,01,finger_incl
trn_2023_v0_222,01,finger_incl,16,finger_excl
trn_2023_v0_223,01,finger_incl,08,finger_excl
trn_2023_v0_224,07,finger_incl,01,finger_excl
trn_2023_v0_225,06,finger_excl,01,finger_incl
trn_2023_v0_226,08,finger_incl,01,finger_excl
trn_2023_v0_227,01,finger_incl,02,finger_excl
trn_2023_v0_228,16,finger_incl,01,finger_incl
trn_2023_v0_229,17,finger_excl,01,finger_incl
trn_2023_v0_230,13,finger_excl,01,finger_incl
trn_2023_v0_231,01,finger_incl,09,finger_incl
trn_2023_v0_232,13,finger_excl,01,finger_incl
trn_2023_v0_233,14,finger_excl,01,finger_excl
trn_2023_v0_234,01,finger_incl,09,finger_incl
trn_2023_v0_235,02,finger_incl,01,finger_incl
trn_2023_v0_236,01,finger_incl,09,finger_incl
trn_2023_v0_237,02,finger_incl,01,finger_excl
trn_2023_v0_238,12,finger_incl,01,finger_excl
trn_2023_v0_239,07,finger_incl,01,finger_incl
trn_2023_v0_240,08,finger_incl,01,finger_excl
trn_2023_v0_241,04,finger_incl,05,finger_incl
trn_2023_v0_242,01,finger_incl,17,finger_excl
trn_2023_v0_243,03,finger_excl,01,finger_incl
trn_2023_v0_244,01,finger_excl,02,finger_incl
trn_2023_v0_245,07,finger_excl,01,finger_incl
trn_2023_v0_246,06,finger_incl,01,finger_incl
trn_2023_v0_247,01,finger_incl,17,finger_incl
trn_2023_v0_248,08,finger_incl,01,finger_incl
trn_2023_v0_249,01,finger_excl,08,finger_incl
trn_2023_v0_250,10,finger_incl,11,finger_excl
trn_2023_v0_251,09,finger_excl,01,finger_incl
trn_2023_v0_252,01,finger_incl,03,finger_excl
trn_2023_v0_253,01,finger_incl,12,finger_excl
trn_2023_v0_254,16,finger_excl,01,finger_incl
trn_2023_v0_255,01,finger_excl,06,finger_incl
trn_2023_v0_256,05,finger_incl,04,finger_incl
trn_2023_v0_257,06,finger_excl,01,finger_incl
trn_2023_v0_258,01,finger_excl,09,finger_incl
trn_2023_v0_259,01,finger_excl,08,finger_incl
trn_2023_v0_260,01,finger_excl,03,finger_excl
trn_2023_v0_261,01,finger_incl,07,finger_incl
trn_2023_v0_262,08,finger_excl,01,finger_incl
trn_2023_v0_263,09,finger_incl,01,finger_incl
trn_2023_v0_264,01,finger_excl,09,finger_incl
trn_2023_v0_265,13,finger_incl,01,finger_excl
trn_2023_v0_266,16,finger_incl,01,finger_incl
trn_2023_v0_267,03,finger_excl,01,finger_incl
trn_2023_v0_268,06,finger_incl,01,finger_excl
trn_2023_v0_269,01,finger_incl,16,finger_excl
trn_2023_v0_270,01,finger_excl,16,finger_incl
trn_2023_v0_271,16,finger_incl,01,finger_incl
trn_2023_v0_272,17,finger_incl,01,finger_excl
trn_2023_v0_273,01,finger_incl,09,finger_excl
trn_2023_v0_274,07,finger_incl,01,finger_excl
trn_2023_v0_275,03,finger_incl,01,finger_excl
trn_2023_v0_276,09,finger_incl,01,finger_incl
trn_2023_v0_277,08,finger_excl,01,finger_incl
trn_2023_v0_278,12,finger_excl,01,finger_incl
trn_2023_v0_279,01,finger_excl,14,finger_excl
trn_2023_v0_280,01,finger_excl,06,finger_incl
trn_2023_v0_281,01,finger_incl,17,finger_incl
trn_2023_v0_282,03,finger_excl,01,finger_incl
trn_2023_v0_283,01,finger_incl,08,finger_excl
trn_2023_v0_284,14,finger_incl,01,finger_incl
trn_2023_v0_285,01,finger_excl,14,finger_excl
trn_2023_v0_286,04,finger_incl,05,finger_incl
trn_2023_v0_287,01,finger_incl,09,finger_excl
trn_2023_v0_288,08,finger_incl,01,finger_incl
trn_2023_v0_289,13,finger_incl,01,finger_excl
trn_2023_v0_290,01,finger_incl,17,finger_incl
trn_2023_v0_291,15,finger_incl,04,finger_incl
trn_2023_v0_292,07,finger_incl,01,finger_incl
trn_2023_v0_293,15,finger_excl,04,finger_incl
trn_2023_v0_294,16,finger_incl,01,finger_incl
trn_2023_v0_295,10,finger_incl,11,finger_excl
trn_2023_v0_296,11,finger_excl,10,finger_incl
trn_2023_v0_297,01,finger_excl,06,finger_incl
trn_2023_v0_298,01,finger_incl,17,finger_excl
trn_2023_v0_299,01,finger_excl,14,finger_excl
trn_2023_v0_300,01,finger_incl,16,finger_incl
trn_2023_v0_301,02,finger_incl,01,finger_excl
trn_2023_v0_302,11,finger_incl,10,finger_excl
trn_2023_v0_303,02,finger_excl,01,finger_incl
trn_2023_v0_304,07,finger_incl,01,finger_incl
trn_2023_v0_305,03,finger_incl,01,finger_incl
trn_2023_v0_306,02,finger_excl,01,finger_incl
trn_2023_v0_307,01,finger_incl,07,finger_incl
trn_2023_v0_308,13,finger_excl,01,finger_incl
trn_2023_v0_309,16,finger_excl,01,finger_incl
trn_2023_v0_310,01,finger_incl,03,finger_incl
trn_2023_v0_311,01,finger_excl,14,finger_excl
trn_2023_v0_312,01,finger_excl,03,finger_incl
trn_2023_v0_313,01,finger_incl,06,finger_incl
trn_2023_v0_314,01,finger_excl,13,finger_incl
trn_2023_v0_315,14,finger_excl,01,finger_excl
trn_2023_v0_316,01,finger_incl,17,finger_excl
trn_2023_v0_317,16,finger_excl,01,finger_incl
trn_2023_v0_318,01,finger_incl,03,finger_incl
trn_2023_v0_319,12,finger_excl,01,finger_incl
trn_2023_v0_320,01,finger_incl,07,finger_incl
trn_2023_v0_321,02,finger_incl,01,finger_excl
trn_2023_v0_322,01,finger_incl,08,finger_incl
trn_2023_v0_323,10,finger_excl,11,finger_incl
trn_2023_v0_324,07,finger_incl,01,finger_excl
trn_2023_v0_325,01,finger_excl,03,finger_incl
trn_2023_v0_326,01,finger_incl,17,finger_excl
trn_2023_v0_327,15,finger_excl,04,finger_incl
trn_2023_v0_328,01,finger_incl,16,finger_incl
trn_2023_v0_329,01,finger_incl,17,finger_incl
trn_2023_v0_330,01,finger_excl,07,finger_incl
trn_2023_v0_331,02,finger_excl,01,finger_incl
trn_2023_v0_332,13,finger_excl,01,finger_incl
trn_2023_v0_333,16,finger_incl,01,finger_incl
trn_2023_v0_334,01,finger_incl,14,finger_incl
trn_2023_v0_335,01,finger_excl,14,finger_excl
trn_2023_v0_336,01,finger_excl,09,finger_incl
trn_2023_v0_337,07,finger_incl,01,finger_incl
trn_2023_v0_338,04,finger_incl,15,finger_excl
trn_2023_v0_339,15,finger_excl,04,finger_incl
trn_2023_v0_340,11,finger_excl,10,finger_incl
trn_2023_v0_341,01,finger_excl,02,finger_incl
trn_2023_v0_342,01,finger_incl,17,finger_incl
trn_2023_v0_343,14,finger_excl,01,finger_excl
trn_2023_v0_344,07,finger_incl,01,finger_excl
trn_2023_v0_345,01,finger_excl,14,finger_excl
trn_2023_v0_346,05,finger_incl,04,finger_incl
trn_2023_v0_347,16,finger_incl,01,finger_incl
trn_2023_v0_348,02,finger_excl,01,finger_incl
trn_2023_v0_349,01,finger_incl,13,finger_excl
trn_2023_v0_350,13,finger_excl,01,finger_incl
trn_2023_v0_351,01,finger_excl,02,finger_incl
trn_2023_v0_352,15,finger_excl,04,finger_incl
trn_2023_v0_353,09,finger_excl,01,finger_incl
trn_2023_v0_354,04,finger_incl,15,finger_incl
trn_2023_v0_355,01,finger_excl,14,finger_excl
trn_2023_v0_356,01,finger_incl,07,finger_incl
trn_2023_v0_357,01,finger_incl,03,finger_incl
trn_2023_v0_358,01,finger_excl,03,finger_incl
trn_2023_v0_359,05,finger_incl,04,finger_excl
trn_2023_v0_360,14,finger_excl,01,finger_excl
trn_2023_v0_361,01,finger_incl,07,finger_excl
trn_2023_v0_362,12,finger_incl,01,finger_excl
trn_2023_v0_363,08,finger_incl,01,finger_incl
trn_2023_v0_364,01,finger_excl,07,finger_incl
trn_2023_v0_365,01,finger_excl,09,finger_incl
trn_2023_v0_366,01,finger_excl,14,finger_excl
trn_2023_v0_367,01,finger_incl,16,finger_incl
trn_2023_v0_368,01,finger_excl,17,finger_incl
trn_2023_v0_369,01,finger_excl,02,finger_incl
trn_2023_v0_370,01,finger_excl,08,finger_incl
trn_2023_v0_371,17,finger_incl,01,finger_incl
